id;reference;name;price;tire_width;tire_height;tire_diameter;tire_type;image_url;speed_index;weight_index;quantity;disable;disable_reason;description
1;205/55 R16 90Y;UltraGrip 5000;89.99;205.00;55.00;16.00;ALL_SEASON;C:\fakepath\image1.jpg;Y;NINETY;10;false;;All-season tire with enhanced grip and durability.
2;195/65 R15 60N;EcoDrive X1;79.50;195.00;65.00;15.00;ALL_SEASON;C:\fakepath\image2.jpg;N;SIXTY;15;false;;Fuel-efficient tire designed for smooth rides.
8;195/65 R15 60N 8;EcoDrive Plus;79.00;195.00;65.00;15.00;ALL_SEASON;C:\fakepath\image3.jpg;N;SIXTY;18;false;;Updated version of EcoDrive with improved efficiency.
21;195/65 R15 60N 21;EcoJourney;80.00;195.00;65.00;15.00;ALL_SEASON;C:\fakepath\image4.jpg;N;SIXTY;20;false;;Fuel-efficient tire for economical driving.
26;195/65 R15 60N 26;UrbanRide;90.00;195.00;65.00;15.00;ALL_SEASON;C:\fakepath\image5.jpg;N;SIXTY;18;false;;Ideal for urban driving with a focus on comfort.
31;195/65 R15 60N 31;EcoPlus;85.00;195.00;65.00;15.00;ALL_SEASON;C:\fakepath\image6.jpg;N;SIXTY;16;false;;Eco-friendly tire with an emphasis on fuel efficiency.
3;225/45 R17 120Y;SportMax Pro;120.00;225.00;45.00;17.00;SUMMER;C:\fakepath\image7.jpg;Y;ONE_HUNDRED_TWENTY;8;false;;High-performance tire for sporty vehicles.
13;225/45 R18 120Y;SportEdge;125.00;225.00;45.00;18.00;SUMMER;C:\fakepath\image8.jpg;Y;ONE_HUNDRED_TWENTY;10;false;;Sporty tire with high-speed performance.
22;225/45 R18 120Y 22;SportGrip;125.00;225.00;45.00;18.00;SUMMER;C:\fakepath\image9.jpg;Y;ONE_HUNDRED_TWENTY;10;false;;High-performance tire with excellent handling.
30;225/45 R18 120Y 30;SportDrive;130.00;225.00;45.00;18.00;SUMMER;C:\fakepath\image10.jpg;Y;ONE_HUNDRED_TWENTY;10;false;;Sport tire designed for high-speed and agile handling.
4;215/60 R16 90N;WinterSafe 360;99.99;215.00;60.00;16.00;WINTER;C:\fakepath\image11.jpg;N;NINETY;12;true;Out of stock;Winter tire with superior traction in icy conditions.
12;215/60 R16 90Y;AllSeason Prime;100.00;215.00;60.00;16.00;ALL_SEASON;C:\fakepath\image12.jpg;Y;NINETY;14;false;;Reliable all-season tire with good grip.
9;215/55 R17 90N;WinterWarrior;130.00;215.00;55.00;17.00;WINTER;C:\fakepath\image13.jpg;N;NINETY;12;false;;Premium winter tire for extreme conditions.
17;215/55 R17 90N 17;SnowShield;120.00;215.00;55.00;17.00;WINTER;C:\fakepath\image14.jpg;N;NINETY;14;false;;Designed for snowy and icy conditions.
10;205/50 R16 60Y;CityCommuter;90.50;205.00;50.00;16.00;ALL_SEASON;C:\fakepath\image15.jpg;Y;SIXTY;20;false;;Ideal for city driving with a focus on durability.
18;205/60 R16 60Y;RoadKing;85.00;205.00;60.00;16.00;ALL_SEASON;C:\fakepath\image16.jpg;Y;SIXTY;18;false;;Durable tire for everyday road use.
23;205/60 R16 60Y 23;RoadComfort;95.00;205.00;60.00;16.00;ALL_SEASON;C:\fakepath\image17.jpg;Y;SIXTY;15;false;;Comfortable ride with a focus on reducing road noise.
28;205/60 R16 60Y 28;ComfortTrail;100.00;205.00;60.00;16.00;ALL_SEASON;C:\fakepath\image18.jpg;Y;SIXTY;16;false;;Comfortable tire for both highway and trail.
5;235/70 R17 120A8;AllTerrain Plus;105.75;235.00;70.00;17.00;ALL_SEASON;C:\fakepath\image19.jpg;A_EIGHT;ONE_HUNDRED_TWENTY;6;false;;Versatile tire suitable for off-road adventures.
11;235/75 R17 120A8;OffRoad Xtreme;140.00;235.00;75.00;17.00;ALL_SEASON;C:\fakepath\image20.jpg;A_EIGHT;ONE_HUNDRED_TWENTY;8;false;;Heavy-duty off-road tire for rugged terrains.
19;235/70 R17 120A8 19;AllRoad Pro;140.00;235.00;70.00;17.00;ALL_SEASON;C:\fakepath\image21.jpg;A_EIGHT;ONE_HUNDRED_TWENTY;8;false;;Premium tire for all-terrain driving.
24;235/75 R17 120A8 24;TrailMaster;135.00;235.00;75.00;17.00;ALL_SEASON;C:\fakepath\image22.jpg;A_EIGHT;ONE_HUNDRED_TWENTY;8;false;;Designed for off-road adventures and rugged conditions.
32;235/70 R17 120A8 32;TrailBlazer;140.00;235.00;70.00;17.00;ALL_SEASON;C:\fakepath\image23.jpg;A_EIGHT;ONE_HUNDRED_TWENTY;8;false;;Durable off-road tire for challenging terrains.
6;205/60 R16 90Y;ComfortRide 200;85.00;205.00;60.00;16.00;ALL_SEASON;C:\fakepath\image24.jpg;Y;NINETY;14;false;;Comfort-oriented tire for a smooth ride.
7;225/50 R17 120A1;TractionMaster;115.00;225.00;50.00;17.00;SUMMER;C:\fakepath\image25.jpg;A_ONE;ONE_HUNDRED_TWENTY;10;false;;High-traction tire ideal for performance vehicles.
16;225/50 R17 120A1 16;TreadMaster;110.00;225.00;50.00;17.00;SUMMER;C:\fakepath\image26.jpg;A_ONE;ONE_HUNDRED_TWENTY;10;false;;Tire with advanced tread patterns for better grip.
25;215/50 R17 90Y;SummerSpeed;105.00;215.00;50.00;17.00;SUMMER;C:\fakepath\image27.jpg;Y;NINETY;12;false;;Summer tire optimized for high-speed driving.
27;205/55 R16 90N;SnowMaster;125.00;205.00;55.00;16.00;WINTER;C:\fakepath\image28.jpg;N;NINETY;14;false;;Snow tire with excellent traction on icy roads.
29;225/55 R17 90Y;AllWeather X;110.00;225.00;55.00;17.00;ALL_SEASON;C:\fakepath\image29.jpg;Y;NINETY;12;false;;All-weather tire with versatile performance.
