id;user_uuid;quantity;lock_time
1;1044e395-b8b1-4e51-841f-b293a9bd2648;8728;2024-09-09T00:28:23
2;0287d5c6-6f9c-4d0f-8e2d-422a8e84ea0f;14157;2024-09-09T08:38:55
3;c6b2c77c-4c28-450d-9f47-d3e7609ce54f;7613;2024-09-09T00:40:12
4;5729d501-a7d0-4145-91ae-ab338b084762;32369;2024-09-09T07:31:17
5;34ae93df-b46e-4568-8604-156d3ddbaff9;25308;2024-09-08T14:38:54
6;d29a06d3-fc11-4641-a38d-effd3bfee82f;4404;2024-09-09T08:32:56
7;93eb544c-60d4-4166-ae7f-1f89b7ae37c0;15468;2024-09-08T23:09:42
8;654e9ffe-db96-4b24-8466-89da61129321;15355;2024-09-08T12:43:22
9;fc5bb455-bdbb-4786-94b1-0cbe37e35d02;16853;2024-09-08T23:05:45
10;7b4405ca-333c-45a3-a16d-f402d4accb9e;16339;2024-09-08T17:15:34
