id;order_date;status;total_amount;payment_date;payment_method;payment_status
1;2024-09-09T00:09:49;PENDING;11569.07;2024-09-08T13:44:04;CASH_ON_DELIVERY;PENDING
2;2024-09-09T06:24:10;COMPLETED;2224.05;2024-09-08T12:26:16;CREDIT_CARD;COMPLETED
3;2024-09-08T21:32:16;COMPLETED;14082.62;2024-09-08T15:42:25;PAYPAL;PENDING
4;2024-09-09T01:18:18;PENDING;256.62;2024-09-09T08:31:22;BANK_TRANSFER;PENDING
5;2024-09-09T02:23:51;PENDING;1942.38;2024-09-09T07:56:38;CREDIT_CARD;COMPLETED
6;2024-09-08T14:34:54;SHIPPED;2068.34;2024-09-09T01:41:32;CREDIT_CARD;PENDING
7;2024-09-09T01:24:48;SHIPPED;9843.19;2024-09-09T01:41:54;BANK_TRANSFER;PENDING
8;2024-09-08T17:11:06;CANCELLED;22452.83;2024-09-08T15:20:17;BANK_TRANSFER;FAILED
9;2024-09-09T01:13:25;SHIPPED;32185.67;2024-09-08T15:13:34;CREDIT_CARD;FAILED
10;2024-09-08T20:29:20;COMPLETED;25094.52;2024-09-08T15:04:53;BANK_TRANSFER;FAILED
